category,total_orders,revenue,avg_review
,1392,171438.59,3.94
"agro_industry_and_commerce",177,70566.10,4.09
"air_conditioning",246,53323.56,4.05
"art",195,23657.30,4.08
"arts_and_craftmanship",23,1814.01,4.13
"audio",348,50620.50,3.83
"auto",3810,580263.44,4.12
"baby",2809,400774.42,4.08
"bed_bath_table",9272,1037177.69,3.92
"books_general_interest",496,45302.15,4.51
"books_imported",50,4418.86,4.51
"books_technical",256,18755.20,4.39
"cds_dvds_musicals",12,730.00,4.64
"christmas_supplies",125,8737.84,4.07
"cine_photo",63,6690.37,4.30
"computers",177,218684.14,4.22
"computers_accessories",6530,896243.28,3.98
"consoles_games",1018,148538.37,4.14
"construction_tools_construction",736,142940.29,4.09
"construction_tools_lights",242,40185.00,4.09
"construction_tools_safety",159,38773.22,3.97
"cool_stuff",3559,612071.86,4.19
"costruction_tools_garden",190,25150.13,4.12
"costruction_tools_tools",97,15903.95,4.44
"diapers_and_hygiene",25,1500.79,3.38
"drinks",287,21607.04,4.13
"dvds_blu_ray",56,4542.59,4.18
"electronics",2517,155173.83,4.07
"fashio_female_clothing",36,2700.84,3.96
"fashion_bags_accessories",1820,150162.75,4.19
"fashion_childrens_clothes",7,519.95,5.00
"fashion_male_clothing",106,10452.33,3.76
"fashion_shoes",235,23206.16,4.29
"fashion_sport",26,2119.51,4.37
"fashion_underwear_beach",117,9305.95,4.05
"fixed_telephony",212,55355.20,3.76
"flowers",29,1110.04,4.42
"food",441,28731.15,4.26
"food_drink",221,15033.87,4.37
"furniture_bedroom",90,19051.80,4.25
"furniture_decor",6307,718344.78,3.95
"furniture_living_room",414,67861.40,3.94
"furniture_mattress_and_upholstery",37,4323.38,3.89
"garden_tools",3448,471671.27,4.08
"health_beauty",8647,1237439.95,4.19
"home_appliances",747,81856.55,4.23
"home_appliances_2",227,108221.60,4.16
"home_comfort_2",24,760.27,3.63
"home_confort",392,58265.15,3.85
"home_construction",483,81527.42,3.96
"housewares",5743,617836.73,4.11
"industry_commerce_and_business",232,38574.81,4.13
"kitchen_dining_laundry_garden_furniture",241,45531.98,4.03
"la_cuisine",13,2054.99,4.00
"luggage_accessories",1019,138701.63,4.35
"market_place",274,27795.77,4.07
"music",38,6034.35,4.21
"musical_instruments",611,184340.64,4.22
"office_furniture",1254,269418.10,3.52
"party_supplies",38,4465.19,3.83
pc_gamer,7,1306.95,3.63
"perfumery",3086,391175.73,4.22
"pet_shop",1688,211971.64,4.22
portateis_cozinha_e_preparadores_de_alimentos,13,3933.63,3.43
security_and_services,2,283.29,2.50
"signaling_and_security",138,21315.05,4.09
"small_appliances",609,183677.02,4.23
"small_appliances_home_oven_and_coffee",72,46589.56,4.44
"sports_leisure",7530,960189.09,4.17
"stationery",2264,224145.67,4.24
"tablets_printing_image",79,7528.41,4.12
"telephony",4093,310004.11,3.99
"toys",3804,472109.78,4.21
"watches_gifts",5495,1167246.63,4.07
