state,unique_customers,total_orders,revenue
AC,76,80,19586.25
AL,387,397,94195.79
AM,140,145,27596.18
AP,66,67,16141.81
BA,3158,3256,591270.60
CE,1258,1279,266463.97
DF,2019,2080,346146.17
ES,1928,1995,317682.65
GO,1895,1957,334294.22
MA,700,717,147807.29
MG,11001,11354,1819277.61
MS,681,701,134421.54
MT,856,886,181441.72
PA,922,946,212027.55
PB,504,517,137834.65
PE,1551,1593,309074.59
PI,464,476,105272.17
PR,4769,4923,781919.55
RJ,11917,12350,2055690.45
RN,464,474,100728.30
RO,231,243,56975.70
RR,40,41,9039.52
RS,5168,5345,861802.40
SC,3449,3546,595208.40
SE,329,335,70289.13
SP,39155,40500,5770266.19
TO,267,274,60007.37
